Ref_Date,UOM,GEO,DURATION,AGE,Vector,Coordinate,Value
1990,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,1983.0
1992,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,2436.0
1994,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,2643.0
1996,Person-trips,Canada,Same day,"65-69 years (x 1,000)",v130964,1.1.2.9,2398.0
1980,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,830.0
1982,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,807.0
1984,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,834.0
1986,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,1164.0
1988,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,1193.0
1990,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,1758.0
1992,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,2771.0
1994,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,3063.0
1996,Person-trips,Canada,Same day,"70 years of age and over (x 1,000)",v130967,1.1.2.10,2821.0
1980,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,74487.0
1982,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,70135.0
1984,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,66626.0
1986,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,75275.0
1988,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,79460.0
1990,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,78326.0
1992,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,84043.0
1994,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,80235.0
1996,Person-trips,Canada,Overnight,"All ages (x 1,000)",v130939,1.1.3.1,71585.0
1980,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,15472.0
1982,Person-trips,Canada,Overnight,"Under 15 years (x 1,000)",v130942,1.1.3.2,13027.0
